1.516209476309226811e-01	1.034912718204488713e-01	6.620947630922693894e-02	5.012468827930174897e-02	3.965087281795511009e-02	3.321695760598503827e-02
1.506234413965087116e-01	1.042394014962593624e-01	6.758104738154613322e-02	4.945968412302576694e-02	3.971321695760599013e-02	3.286783042394015447e-02
1.511221945137157241e-01	9.950124688279303464e-02	6.546134663341646176e-02	4.904405652535327731e-02	3.940149625935162464e-02	3.271820448877806042e-02
1.441396508728179371e-01	9.800498753117206641e-02	6.421446384039899979e-02	4.887780548628428701e-02	3.933915211970075154e-02	3.326683291770573397e-02
1.650872817955112426e-01	1.087281795511221977e-01	6.396508728179550740e-02	4.746467165419783474e-02	3.802992518703241648e-02	3.216957605985037300e-02
1.516209476309226811e-01	1.000000000000000056e-01	6.533665835411471556e-02	4.945968412302576694e-02	3.971321695760599013e-02	3.341645885286783496e-02
1.461346633416458762e-01	9.975062344139651316e-02	6.246882793017456692e-02	4.746467165419783474e-02	3.902743142144638605e-02	3.316708229426434257e-02
1.481296758104738431e-01	1.022443890274314232e-01	6.458852867830423838e-02	4.779717373233582228e-02	3.958852867830423700e-02	3.351620947630923331e-02
1.600997506234413670e-01	1.039900249376558700e-01	6.309226932668329790e-02	4.655029093931837419e-02	3.796758104738155032e-02	3.172069825436409085e-02
1.566084788029925012e-01	9.925187032418951449e-02	6.197007481296758213e-02	4.754779717373232295e-02	3.765586034912718483e-02	3.147132169576059846e-02
